Label,Fs1,Fs2,Fs3,Fs4,Fs5,Fs6,Fs7,Fs8,Fs9,Fs10,Fs11,Fs12,Fs13,Fs14,Fs15,Fs16,Fs17,Fs18,Fs19,Fs20,Fs21,Fs22,Fs23,Fs24,Fs25,Fs26,Fs27,Fs28,Fs29,Fs30,Fs31,Fs32
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142237]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142390]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142396]","[80tcp00S0, 128192]","[8080tcp00S0, 14240]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 96]","[53udp1560S0, 48]","[10icmp800OTH, 38]","[17576tcp00RSTOS0, 34]","[18344tcp00RSTOS0, 32]","[123udp960S0, 21]","[17832tcp00RSTOS0, 18]","[0icmp800OTH, 10]","[0icmp560OTH, 9]","[80tcp00RSTRH, 7]","[13icmp560OTH, 5]","[1icmp800OTH, 5]","[17576tcp00REJ, 4]","[80tcp00RSTO, 3]","[1icmp880OTH, 3]","[1icmp560OTH, 2]","[53udp78206SF, 2]","[53udp780S0, 2]","[0icmp1360OTH, 2]","[13icmp800OTH, 1]",,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142232]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142233]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142400]","[80tcp00S0, 128017]","[8080tcp00S0, 14224]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 98]","[53udp1560S0, 50]","[18344tcp00RSTOS0, 48]","[17576tcp00RSTOS0, 24]","[10icmp800OTH, 17]","[123udp960S0, 12]","[0icmp560OTH, 12]","[1icmp800OTH, 12]","[80tcp00RSTRH, 10]","[80tcp00RSTO, 9]","[0icmp800OTH, 8]","[17832tcp00RSTOS0, 5]","[13icmp560OTH, 5]","[17576tcp00REJ, 3]","[8080tcp00RSTRH, 3]","[1icmp560OTH, 3]","[3icmp800OTH, 2]","[8080tcp00RSTO, 2]","[0icmp1360OTH, 2]","[53484tcp00REJ, 1]","[13icmp840OTH, 1]","[13icmp1360OTH, 1]","[0icmp2800OTH, 1]","[53udp156206SF, 1]","[53udp780S0, 1]","[1icmp880OTH, 1]",,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142229]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142224]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142085]","[80tcp00S0, 127880]","[8080tcp00S0, 14213]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 102]","[53udp1560S0, 50]","[18344tcp00RSTOS0, 40]","[10icmp800OTH, 28]","[17576tcp00RSTOS0, 18]","[123udp960S0, 17]","[80tcp00RSTRH, 14]","[17832tcp00RSTOS0, 14]","[80tcp00RSTO, 13]","[0icmp560OTH, 10]","[0icmp800OTH, 9]","[1icmp800OTH, 8]","[13icmp560OTH, 7]","[8080tcp00RSTRH, 3]","[1icmp560OTH, 3]","[0icmp1360OTH, 2]","[0icmp2800OTH, 1]","[53udp780S0, 1]","[53udp78206SF, 1]","[17576tcp00REJ, 1]","[18344tcp00REJ, 1]","[3icmp880OTH, 1]","[13icmp1360OTH, 1]","[8080tcp00RSTO, 1]","[17832tcp00REJ, 1]",,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142390]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142232]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142392]","[80tcp00S0, 128035]","[8080tcp00S0, 14224]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 108]","[53udp1560S0, 54]","[18344tcp00RSTOS0, 31]","[17832tcp00RSTOS0, 27]","[10icmp800OTH, 23]","[17576tcp00RSTOS0, 21]","[123udp960S0, 19]","[80tcp00RSTO, 12]","[80tcp00RSTRH, 11]","[0icmp560OTH, 10]","[1icmp800OTH, 10]","[13icmp560OTH, 7]","[0icmp800OTH, 6]","[1icmp560OTH, 5]","[0icmp1360OTH, 3]","[8080tcp00RSTO, 3]","[8080tcp00RSTRH, 3]","[17576tcp00REJ, 2]","[3icmp800OTH, 1]","[1icmp1360OTH, 1]","[13icmp840OTH, 1]","[1icmp880OTH, 1]","[53udp78206SF, 1]","[53udp780S0, 1]","[13icmp1360OTH, 1]","[13icmp920OTH, 1]",,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 141914]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142391]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142233]","[80tcp00S0, 128172]","[8080tcp00S0, 14244]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 100]","[53udp1560S0, 51]","[17576tcp00RSTOS0, 30]","[0icmp560OTH, 20]","[123udp960S0, 19]","[80tcp00RSTRH, 17]","[18344tcp00RSTOS0, 16]","[10icmp800OTH, 15]","[17832tcp00RSTOS0, 12]","[1icmp800OTH, 12]","[80tcp00RSTO, 10]","[0icmp800OTH, 4]","[17576tcp00REJ, 3]","[13icmp560OTH, 3]","[8080tcp00RSTRH, 2]","[0icmp1360OTH, 2]","[3icmp800OTH, 2]","[17832tcp00REJ, 2]","[1icmp880OTH, 1]","[1icmp560OTH, 1]","[8080tcp00RSTO, 1]","[3icmp880OTH, 1]","[53udp78206SF, 1]","[53udp780S0, 1]",,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142378]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142227]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142398]","[80tcp00S0, 127882]","[8080tcp00S0, 14210]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 90]","[53udp1560S0, 44]","[10icmp800OTH, 34]","[18344tcp00RSTOS0, 27]","[123udp960S0, 20]","[17832tcp00RSTOS0, 18]","[80tcp00RSTRH, 17]","[80tcp00RSTO, 13]","[1icmp800OTH, 11]","[0icmp560OTH, 10]","[17576tcp00RSTOS0, 8]","[0icmp800OTH, 7]","[13icmp560OTH, 6]","[1icmp560OTH, 4]","[53udp780S0, 4]","[3icmp800OTH, 4]","[53udp78206SF, 3]","[1icmp880OTH, 2]","[0icmp1360OTH, 2]","[8080tcp00RSTRH, 2]","[56420tcp00REJ, 1]","[17576tcp00REJ, 1]","[53udp156206SF, 1]","[17832tcp00REJ, 1]",,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142223]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142213]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142391]","[80tcp00S0, 128185]","[8080tcp00S0, 14240]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 86]","[53udp1560S0, 43]","[18344tcp00RSTOS0, 34]","[10icmp800OTH, 29]","[17576tcp00RSTOS0, 22]","[17832tcp00RSTOS0, 21]","[123udp960S0, 20]","[0icmp560OTH, 20]","[80tcp00RSTRH, 13]","[1icmp800OTH, 10]","[0icmp800OTH, 9]","[80tcp00RSTO, 8]","[1icmp560OTH, 5]","[13icmp560OTH, 5]","[3icmp800OTH, 3]","[0icmp1360OTH, 2]","[8080tcp00RSTRH, 2]","[53udp780S0, 2]","[53udp78206SF, 2]","[13icmp800OTH, 2]","[123udp57696SF, 1]","[17576tcp00REJ, 1]","[0icmp1600OTH, 1]",,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142388]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142241]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142230]","[80tcp00S0, 128025]","[8080tcp00S0, 14222]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 98]","[53udp1560S0, 50]","[18344tcp00RSTOS0, 30]","[123udp960S0, 24]","[10icmp800OTH, 20]","[17576tcp00RSTOS0, 19]","[17832tcp00RSTOS0, 11]","[80tcp00RSTO, 9]","[0icmp560OTH, 9]","[80tcp00RSTRH, 9]","[1icmp800OTH, 7]","[13icmp560OTH, 6]","[0icmp800OTH, 4]","[1icmp560OTH, 4]","[8080tcp00RSTRH, 3]","[17576tcp00REJ, 2]","[53udp780S0, 2]","[13icmp1360OTH, 2]","[53udp78206SF, 2]","[1icmp880OTH, 2]","[0icmp1360OTH, 1]","[3icmp800OTH, 1]","[0icmp1120OTH, 1]","[13icmp800OTH, 1]","[17832tcp00REJ, 1]","[1icmp1360OTH, 1]",,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142393]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142383]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142236]","[80tcp00S0, 128179]","[8080tcp00S0, 14240]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 66]","[18344tcp00RSTOS0, 42]","[123udp960S0, 36]","[17576tcp00RSTOS0, 34]","[53udp1560S0, 33]","[80tcp00RSTRH, 16]","[10icmp800OTH, 16]","[0icmp560OTH, 15]","[1icmp800OTH, 14]","[17832tcp00RSTOS0, 13]","[80tcp00RSTO, 11]","[13icmp560OTH, 10]","[53udp780S0, 7]","[0icmp800OTH, 5]","[53udp78206SF, 4]","[17576tcp00REJ, 4]","[53udp156206SF, 3]","[1icmp560OTH, 3]","[0icmp1360OTH, 2]","[8080tcp00RSTO, 1]","[1icmp1120OTH, 1]","[0icmp1600OTH, 1]","[123udp67296SF, 1]","[8080tcp00RSTRH, 1]","[1icmp880OTH, 1]",,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142221]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142387]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142237]","[80tcp00S0, 128028]","[8080tcp00S0, 14224]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 76]","[53udp1560S0, 37]","[123udp960S0, 33]","[18344tcp00RSTOS0, 24]","[10icmp800OTH, 20]","[1icmp800OTH, 16]","[17832tcp00RSTOS0, 16]","[17576tcp00RSTOS0, 13]","[0icmp800OTH, 12]","[13icmp560OTH, 7]","[0icmp560OTH, 7]","[80tcp00RSTO, 6]","[53udp780S0, 6]","[53udp78206SF, 5]","[80tcp00RSTRH, 5]","[8080tcp00RSTRH, 3]","[1icmp560OTH, 3]","[0icmp1360OTH, 1]","[53udp156206SF, 1]","[3icmp800OTH, 1]","[0icmp2800OTH, 1]","[1icmp880OTH, 1]","[13icmp1360OTH, 1]","[123udp57696SF, 1]",,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142383]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142234]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142391]","[80tcp00S0, 128167]","[8080tcp00S0, 14240]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 76]","[18344tcp00RSTOS0, 46]","[53udp1560S0, 39]","[123udp960S0, 33]","[17576tcp00RSTOS0, 31]","[10icmp800OTH, 27]","[0icmp560OTH, 16]","[80tcp00RSTRH, 15]","[80tcp00RSTO, 9]","[1icmp800OTH, 9]","[17832tcp00RSTOS0, 7]","[13icmp560OTH, 7]","[53udp780S0, 5]","[1icmp560OTH, 4]","[0icmp1360OTH, 4]","[53udp78206SF, 4]","[0icmp800OTH, 4]","[8080tcp00RSTRH, 3]","[13icmp800OTH, 1]","[1icmp880OTH, 1]","[0icmp1120OTH, 1]","[123udp19296SF, 1]","[0icmp880OTH, 1]","[53udp156206SF, 1]","[3icmp800OTH, 1]","[17576tcp00REJ, 1]",,,,,,
C&C-HeartBeat,"[666tcp00S0, 70]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142392]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142266]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142393]","[80tcp00S0, 128024]","[8080tcp00S0, 14224]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 84]","[53udp1560S0, 42]","[18344tcp00RSTOS0, 29]","[123udp960S0, 27]","[17576tcp00RSTOS0, 22]","[10icmp800OTH, 17]","[0icmp800OTH, 12]","[0icmp560OTH, 11]","[17832tcp00RSTOS0, 8]","[80tcp00RSTRH, 7]","[80tcp00RSTO, 7]","[13icmp560OTH, 6]","[1icmp800OTH, 6]","[3icmp800OTH, 4]","[53udp78206SF, 4]","[0icmp1360OTH, 4]","[53udp780S0, 4]","[8080tcp00RSTRH, 3]","[47292tcp00RSTOS0, 1]","[1icmp560OTH, 1]","[0icmp2800OTH, 1]","[17576tcp00REJ, 1]","[3icmp1600OTH, 1]",,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 71]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142070]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142353]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142232]","[80tcp00S0, 127879]","[8080tcp00S0, 14208]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 94]","[53udp1560S0, 47]","[18344tcp00RSTOS0, 40]","[123udp960S0, 22]","[10icmp800OTH, 20]","[17576tcp00RSTOS0, 18]","[17832tcp00RSTOS0, 17]","[0icmp560OTH, 14]","[80tcp00RSTRH, 11]","[1icmp800OTH, 11]","[0icmp800OTH, 10]","[17576tcp00REJ, 5]","[1icmp560OTH, 3]","[1icmp880OTH, 3]","[13icmp560OTH, 3]","[80tcp00RSTO, 2]","[3icmp800OTH, 2]","[53udp780S0, 2]","[8080tcp00RSTRH, 2]","[53udp156206SF, 1]","[0icmp2800OTH, 1]","[53udp78206SF, 1]",,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 71]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142384]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142277]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142234]","[80tcp00S0, 128011]","[8080tcp00S0, 14223]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 90]","[53udp1560S0, 44]","[18344tcp00RSTOS0, 36]","[17576tcp00RSTOS0, 34]","[123udp960S0, 25]","[10icmp800OTH, 18]","[0icmp560OTH, 16]","[80tcp00RSTRH, 15]","[1icmp800OTH, 13]","[0icmp800OTH, 9]","[17832tcp00RSTOS0, 9]","[13icmp560OTH, 8]","[80tcp00RSTO, 7]","[3icmp800OTH, 5]","[17576tcp00REJ, 3]","[53udp780S0, 3]","[1icmp560OTH, 3]","[8080tcp00RSTRH, 2]","[0icmp1360OTH, 2]","[53udp78206SF, 2]","[53udp156206SF, 1]","[13icmp800OTH, 1]","[18344tcp00REJ, 1]","[0icmp1120OTH, 1]","[1icmp880OTH, 1]","[13icmp840OTH, 1]",,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142233]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142341]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142399]","[80tcp00S0, 128020]","[8080tcp00S0, 14223]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 78]","[53udp1560S0, 40]","[17576tcp00RSTOS0, 37]","[18344tcp00RSTOS0, 32]","[123udp960S0, 31]","[10icmp800OTH, 22]","[80tcp00RSTO, 16]","[17832tcp00RSTOS0, 13]","[0icmp800OTH, 12]","[0icmp560OTH, 10]","[13icmp560OTH, 7]","[1icmp800OTH, 7]","[0icmp1360OTH, 5]","[53udp78206SF, 4]","[53udp780S0, 4]","[80tcp00RSTRH, 4]","[1icmp560OTH, 3]","[1icmp880OTH, 3]","[8080tcp00RSTRH, 3]","[3icmp800OTH, 2]","[17576tcp00REJ, 2]","[47508tcp00RSTOS0, 1]",,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142387]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142231]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142238]","[80tcp00S0, 128039]","[8080tcp00S0, 14222]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 88]","[53udp1560S0, 44]","[18344tcp00RSTOS0, 42]","[17576tcp00RSTOS0, 39]","[10icmp800OTH, 29]","[17832tcp00RSTOS0, 26]","[123udp960S0, 22]","[80tcp00RSTRH, 20]","[0icmp800OTH, 12]","[1icmp800OTH, 8]","[0icmp560OTH, 7]","[1icmp560OTH, 6]","[13icmp560OTH, 6]","[80tcp00RSTO, 6]","[17576tcp00REJ, 3]","[0icmp1360OTH, 3]","[53udp780S0, 3]","[53udp78206SF, 3]","[3icmp800OTH, 3]","[8080tcp00RSTRH, 2]","[8080tcp00RSTO, 1]","[18344tcp00REJ, 1]","[17832tcp00REJ, 1]","[2icmp560OTH, 1]",,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142225]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142382]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142076]","[80tcp00S0, 128009]","[8080tcp00S0, 14226]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 96]","[53udp1560S0, 47]","[10icmp800OTH, 28]","[17576tcp00RSTOS0, 27]","[18344tcp00RSTOS0, 24]","[17832tcp00RSTOS0, 18]","[123udp960S0, 17]","[0icmp560OTH, 17]","[80tcp00RSTRH, 13]","[0icmp800OTH, 11]","[80tcp00RSTO, 11]","[1icmp800OTH, 8]","[13icmp560OTH, 4]","[1icmp560OTH, 4]","[3icmp800OTH, 3]","[0icmp1360OTH, 3]","[53udp780S0, 3]","[13icmp840OTH, 2]","[53udp78206SF, 2]","[8080tcp00RSTRH, 2]","[17576tcp00REJ, 2]","[8080tcp00RSTO, 1]","[1icmp880OTH, 1]","[53udp156206SF, 1]",,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142222]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142389]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142237]","[80tcp00S0, 128034]","[8080tcp00S0, 14224]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 88]","[53udp1560S0, 45]","[18344tcp00RSTOS0, 33]","[17576tcp00RSTOS0, 32]","[10icmp800OTH, 31]","[123udp960S0, 24]","[0icmp800OTH, 18]","[80tcp00RSTRH, 17]","[17832tcp00RSTOS0, 16]","[80tcp00RSTO, 13]","[0icmp560OTH, 13]","[1icmp800OTH, 10]","[13icmp560OTH, 6]","[8080tcp00RSTRH, 4]","[1icmp560OTH, 3]","[53udp780S0, 3]","[53udp78206SF, 3]","[3icmp800OTH, 2]","[17832tcp00REJ, 2]","[17576tcp00REJ, 2]","[8080tcp00RSTO, 1]","[13icmp1360OTH, 1]","[1icmp880OTH, 1]","[0icmp2720OTH, 1]","[0icmp1360OTH, 1]",,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142393]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142226]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142394]","[80tcp00S0, 128185]","[8080tcp00S0, 14243]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 94]","[53udp1560S0, 47]","[18344tcp00RSTOS0, 31]","[10icmp800OTH, 29]","[17576tcp00RSTOS0, 26]","[123udp960S0, 21]","[80tcp00RSTRH, 16]","[0icmp560OTH, 12]","[17832tcp00RSTOS0, 12]","[80tcp00RSTO, 12]","[1icmp800OTH, 11]","[0icmp800OTH, 10]","[1icmp880OTH, 5]","[0icmp1360OTH, 5]","[3icmp800OTH, 4]","[53udp780S0, 3]","[1icmp560OTH, 3]","[13icmp560OTH, 3]","[8080tcp00RSTRH, 3]","[53udp78206SF, 2]","[123udp1920S0, 1]","[53udp156206SF, 1]","[13icmp840OTH, 1]","[17832tcp00REJ, 1]","[13icmp800OTH, 1]","[0icmp2800OTH, 1]",,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142226]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142390]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142231]","[80tcp00S0, 128042]","[8080tcp00S0, 14224]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 94]","[53udp1560S0, 46]","[18344tcp00RSTOS0, 35]","[10icmp800OTH, 31]","[17576tcp00RSTOS0, 26]","[123udp960S0, 23]","[80tcp00RSTRH, 19]","[17832tcp00RSTOS0, 18]","[1icmp800OTH, 17]","[80tcp00RSTO, 13]","[0icmp560OTH, 11]","[13icmp560OTH, 10]","[0icmp800OTH, 8]","[1icmp560OTH, 5]","[1icmp880OTH, 3]","[0icmp1360OTH, 3]","[53udp780S0, 2]","[53udp78206SF, 2]","[3icmp800OTH, 2]","[17832tcp00REJ, 1]","[8080tcp00RSTRH, 1]","[0icmp880OTH, 1]",,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 70]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142392]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142226]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142389]","[80tcp00S0, 128185]","[8080tcp00S0, 14239]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 104]","[53udp1560S0, 52]","[17576tcp00RSTOS0, 26]","[10icmp800OTH, 21]","[17832tcp00RSTOS0, 21]","[18344tcp00RSTOS0, 17]","[123udp960S0, 13]","[80tcp00RSTO, 13]","[80tcp00RSTRH, 12]","[1icmp800OTH, 11]","[0icmp560OTH, 7]","[13icmp560OTH, 7]","[0icmp800OTH, 6]","[1icmp560OTH, 3]","[0icmp1360OTH, 3]","[8080tcp00RSTRH, 3]","[3icmp800OTH, 2]","[1icmp880OTH, 2]","[13icmp920OTH, 1]","[53udp78206SF, 1]","[53udp780S0, 1]","[48252tcp00RSTOS0, 1]",,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 70]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142225]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142226]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142392]","[80tcp00S0, 128038]","[8080tcp00S0, 14222]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 102]","[53udp1560S0, 52]","[18344tcp00RSTOS0, 29]","[10icmp800OTH, 24]","[123udp960S0, 18]","[17832tcp00RSTOS0, 15]","[1icmp800OTH, 13]","[0icmp560OTH, 12]","[17576tcp00RSTOS0, 11]","[80tcp00RSTRH, 11]","[80tcp00RSTO, 10]","[0icmp800OTH, 7]","[13icmp560OTH, 5]","[17832tcp00REJ, 4]","[8080tcp00RSTRH, 2]","[3icmp800OTH, 2]","[0icmp1360OTH, 2]","[1icmp560OTH, 2]","[8080tcp00RSTO, 1]","[17576tcp00REJ, 1]","[53udp780S0, 1]","[53udp78206SF, 1]","[0icmp920OTH, 1]","[13icmp1360OTH, 1]",,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142069]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142399]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142076]","[80tcp00S0, 128018]","[8080tcp00S0, 14225]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
